#,dvh.csv
,BODY (1)(volume: 14367.16),2Cm (2)(volume: 362.15),Bronchial Tree (3)(volume: 19.19),Chest Wall (4)(volume: 417.01),Contrast (5)(volume: 450.02),Cord (6)(volume: 7.63),Esophagus (7)(volume: 38.25),Great Vessels (8)(volume: 93.13),Lung_Lt (9)(volume: 943.06),Lung_Rt (10)(volume: 1279.22),Lung_Total (11)(volume: 2222.28),Rib (12)(volume: 37.95),Ring_101 (13)(volume: 27.46),Skin (14)(volume: 247.08),IGTV1 (15)(volume: 14.43),PTV1 (16)(volume: 39.99),IGTV2 (17)(volume: 0.99),PTV2 (18)(volume: 6.52),PTV2 sep (19)(volume: 5.83),PTV sum (20)(volume: 46.24),Ring_102 (21)(volume: 46.63),Ring_103 (22)(volume: 182.87),Ring_104 (23)(volume: 5.44),Ring_105 (24)(volume: 8.19),Ring_106 (25)(volume: 25.34),CouchSurface (26)(volume: 1235.44),CouchInterior (27)(volume: 7933.69),PRV1 (28)(volume: 2053.95),PRV2 (29)(volume: 1896.05),PRV3 (30)(volume: 1716.00)
3.96199,14.7624,77.4155,100,74.3998,42.9933,41.05,21.6825,76.0609,10.5225,37.3876,25.9884,72.5011,100,36.6435,100,100,100,100,100,100,100,99.1369,100,100,100,0,NaN,69.8878,67.4928,64.8919,
4.0178,14.6224,77.0821,100,74.1249,42.8568,39.675,21.6327,75.9073,9.9915,37.2203,25.6668,72.1293,100,36.3486,100,100,100,100,100,100,100,99.1264,100,100,100,0,NaN,69.2103,66.7636,64.105,
4.0736,14.4869,76.7213,100,73.8583,42.7259,38.55,21.5629,75.7639,9.4708,37.0532,25.3497,71.7071,100,36.0645,100,100,100,100,100,100,100,99.117,100,100,100,0,NaN,68.55,66.0532,63.3382,
4.1294,14.354,76.3416,100,73.5921,42.6114,37.125,21.4681,75.6697,8.97518,36.8954,25.0485,71.2599,100,35.7534,100,100,100,100,100,100,100,99.1097,100,100,100,0,NaN,67.8975,65.3515,62.5795,
4.1852,14.2231,75.9255,100,73.3131,42.4813,35.525,21.3933,75.5345,8.49271,36.7368,24.7525,70.7322,100,35.457,100,100,100,100,100,100,100,99.1034,100,100,100,0,NaN,67.2569,64.6632,61.8342,
4.24101,14.0955,75.5226,100,73.024,42.3783,34.225,21.3385,75.4403,8.03532,36.5789,24.4675,70.2447,100,35.1467,100,100,100,100,100,100,100,99.095,100,100,100,0,NaN,66.6304,63.9917,61.1065,
4.29681,13.9674,75.0481,100,72.7148,42.2681,32.625,21.2437,75.342,7.59493,36.4128,24.185,69.7774,100,34.8803,100,100,100,100,100,100,100,99.0866,100,100,100,0,NaN,66.0042,63.3197,60.3795,
4.35261,13.8433,74.5546,100,72.396,42.1617,31.125,21.149,75.2376,7.1689,36.2655,23.9194,69.3402,100,34.6171,100,100,100,100,100,100,100,99.0761,100,100,100,0,NaN,65.3887,62.6606,59.6639,
4.40841,13.7221,74.0305,100,72.085,42.0706,29.5,21.0592,75.1475,6.7641,36.1191,23.6634,68.8879,100,34.367,100,100,100,100,100,100,100,99.0688,100,100,100,0,NaN,64.7905,62.0183,58.9692,
4.46422,13.6023,73.5002,100,71.7621,41.9753,28.05,20.9395,75.0635,6.36801,35.9744,23.4121,68.3954,100,34.1061,100,100,100,100,100,100,100,99.0583,100,100,100,0,NaN,64.1958,61.3821,58.2784,
